Name,Category,Details/Properties
LCC(생애주기 비용),"Component, TramNode","{'name': 'LCC(생애주기 비용)', 'system_check': 'active'}"
철도안전 및 승객안전,"Component, TramNode","{'name': '철도안전 및 승객안전', 'system_check': 'active'}"
3D BIM Level 2,"Component, TramNode","{'category': 'HighLevel', 'name': '3D BIM Level 2', 'system_check': 'active'}"
입찰 행정 및 리스크 관리,"Component, TramNode","{'name': '입찰 행정 및 리스크 관리', 'system_check': 'active'}"
107/201역 (동탄역 하부보강),"Component, TramNode","{'category': 'Station', 'name': '107/201역 (동탄역 하부보강)', 'risk_status': 'Critical_Settlement', 'system_check': 'active'}"
팬터그래프 상승 충전,"Component, TramNode","{'name': '팬터그래프 상승 충전', 'system_check': 'active'}"
광역상수도 관로복선화 중첩,"Risk, TramNode","{'name': '광역상수도 관로복선화 중첩', 'system_check': 'active'}"
야간 소음 기준(65dB),"Risk, TramNode","{'name': '야간 소음 기준(65dB)', 'system_check': 'active'}"
오산역(117역) 환승센터,"Component, TramNode","{'name': '오산역(117역) 환승센터', 'risk_status': 'Critical_Settlement', 'system_check': 'active'}"
2공구 하천 횡단 교량,"Component, TramNode","{'name': '2공구 하천 횡단 교량', 'system_check': 'active'}"
상업지구 보행안전,"Component, TramNode","{'name': '상업지구 보행안전', 'system_check': 'active'}"
안전무결성 SIL4,"Constraint, TramNode","{'name': '안전무결성 SIL4', 'system_check': 'active'}"
차상 신호장치(ATP/ATO),"Component, TramNode","{'name': '차상 신호장치(ATP/ATO)', 'system_check': 'active'}"
철도통합무선망(LTE-R),"Component, TramNode","{'name': '철도통합무선망(LTE-R)', 'system_check': 'active'}"
안전무결성등급 SIL4,"System_Spec, TramNode","{'name': '안전무결성등급 SIL4', 'system_check': 'active'}"
철도통합무선망 (LTE-R),"System_Spec, TramNode","{'name': '철도통합무선망 (LTE-R)', 'system_check': 'active'}"
107/201 정거장 (동탄역),"Section_1, TramNode","{'category': 'Station', 'name': '107/201 정거장 (동탄역)', 'risk_status': 'Critical_Settlement', 'system_check': 'active'}"
팬터그래프 상승방식,"Tech_Spec, TramNode","{'name': '팬터그래프 상승방식', 'system_check': 'active'}"
야간 소음 기준 (65dB),"Risk_Factor, TramNode","{'name': '야간 소음 기준 (65dB)', 'system_check': 'active'}"
오산천 교량 횡단 (655m),"Risk_Factor, TramNode","{'name': '오산천 교량 횡단 (655m)', 'system_check': 'active'}"
광역상수도 공사 중첩,"Risk_Factor, TramNode","{'name': '광역상수도 공사 중첩', 'system_check': 'active'}"
GPR 지표투과 레이더탐사,"Risk_Control, TramNode","{'name': 'GPR 지표투과 레이더탐사', 'system_check': 'active'}"
오산역 (117역) 환승센터,"Section_2, TramNode","{'name': '오산역 (117역) 환승센터', 'risk_status': 'Critical_Settlement', 'system_check': 'active'}"
