source,target,type
RFP-A-007,RFP-A-001,CONSTRAINS
RFP-A-004,RFP-A-012,DEPENDS_ON
RFP-A-013,RFP-A-011,DEPENDS_ON
RFP-A-005,RFP-A-011,CONSTRAINS
RFP-A-003,RFP-A-008,INTERFACES_WITH
RFP-A-002,RFP-A-012,CONSTRAINS
RFP-A-009,RFP-A-004,CONSTRAINS
RFP-A-006,RFP-A-012,INTERFACES_WITH
RFP-B-005,RFP-B-001,DEPENDS_ON
RFP-B-008,RFP-A-001,CONSTRAINS
RFP-B-010,RFP-A-004,INTERFACES_WITH
RFP-B-006,RFP-A-009,DEPENDS_ON
RFP-B-011,RFP-B-013,INTERFACES_WITH
RFP-B-012,RFP-B-003,CONSTRAINS
RFP-B-007,RFP-A-003,INTERFACES_WITH
RFP-B-009,RFP-A-012,DEPENDS_ON
RFP-CD-004,RFP-CD-011,DEPENDS_ON
RFP-CD-002,RFP-B-009,CONSTRAINS
RFP-CD-001,RFP-CD-010,INTERFACES_WITH
RFP-CD-005,RFP-CD-003,DEPENDS_ON
RFP-CD-006,RFP-CD-007,INTERFACES_WITH
RFP-CD-009,RFP-A-010,CONSTRAINS
RFP-CD-011,RFP-B-011,CONSTRAINS
RFP-CD-008,RFP-B-001,DEPENDS_ON
RFP-E-001,RFP-CD-005,DEPENDS_ON
RFP-E-004,RFP-A-004,CONSTRAINS
RFP-E-002,RFP-CD-001,INTERFACES_WITH
RFP-E-006,RFP-B-011,DEPENDS_ON
RFP-E-010,RFP-B-004,INTERFACES_WITH
RFP-E-003,RFP-A-003,INTERFACES_WITH
RFP-E-007,RFP-B-009,CONSTRAINS
RFP-E-009,RFP-A-012,INTERFACES_WITH
RFP-G-001,RFP-E-001,DEPENDS_ON
RFP-G-002,RFP-CD-007,CONSTRAINS
RFP-G-003,RFP-CD-009,INTERFACES_WITH
RFP-G-004,RFP-B-001,CONSTRAINS
RFP-G-005,RFP-CD-011,MITIGATES
RFP-CD-001,RFP-CD-011,IMPACTS_TRAFFIC
RFP-CD-001,RFP-G-005,TRIGGERS_COMPLAINT
RFP-CD-001,RFP-E-002,REQUIRES_RE_EVALUATION
RFP-CD-001,RFP-A-010,CHANGES_UTILITY_PLAN
RFP-H-001,RFP-CD-007,DATA_INTEGRATION
RFP-H-005,RFP-H-003,MONITORS
RFP-B-001,RFP-H-002,PHYSICAL_INTERFACE
RFP-H-006,RFP-CD-005,STRUCTURAL_IMPACT
RFP-H-003,RFP-CD-006,POWER_SUPPLY
RFP-CD-011,RFP-H-004,LOGISTICAL_IMPACT
RFP-G-001,RFP-H-008,VALIDATES
RFP-H-001,RFP-B-007,CONTROL_LINK
RFP-H-002,RFP-F-003,MAINTENANCE_LINK
RFP-B-009,RFP-B-007,CALCULATES_BRAKING_CURVE
RFP-B-009,RFP-A-011,AFFECTED_BY_GRADIENT
RFP-B-009,RFP-E-001,SAFETY_MANDATE
RFP-B-009,RFP-B-002,DEPENDS_ON_SPEED
RFP-A-006,RFP-G-004,DETERMINES_LCC
RFP-A-006,RFP-F-003,DEPENDS_ON_MAINTENANCE
RFP-A-006,RFP-A-008,MANAGED_THROUGH
RFP-CD-010,RFP-A-010,MONITORS_UTILITY_LEAK
RFP-CD-010,RFP-A-005,COMPLIES_WITH_UNDERGROUND_SAFETY_ACT
RFP-CD-010,RFP-CD-005,SECURES_EXCAVATION_SAFETY
RFP-CD-010,RFP-H-005,INTEGRATES_DATA_TO
RFP-B-001,RFP-G-004,AFFECTS_LCC
RFP-A-008,RFP-A-010,MANAGES_ASSET_DATA
RFP-H-001,RFP-B-001,MONITORS_VEHICLE_STATUS
RFP-CD-001,RFP-A-011,CONSTRAINS_GRADIENT
RFP-E-001,RFP-CD-010,GOVERNS_UNDERGROUND_SAFETY
RFP-F-003,RFP-B-007,INCLUDES_SIGNAL_MAINTENANCE
RFP-A-005,RFP-E-004,REINFORCES_SAFETY_LAW
RFP-I-001,RFP-B-001,OPTIMIZES_POWER
RFP-I-001,RFP-B-009,RECOVERS_ENERGY_FROM
RFP-I-002,RFP-H-005,FEEDS_DATA_TO
RFP-I-002,RFP-E-004,MITIGATES_RISK_OF
RFP-I-003,RFP-CD-001,DESIGN_MANDATE_FOR
RFP-I-003,RFP-A-008,MODELLED_IN
RFP-I-005,RFP-E-001,REQUIRED_FOR_APPROVAL
RFP-J-001,RFP-CD-001,SYNCHRONIZED_WITH
RFP-J-002,RFP-E-002,STRICTER_THAN
RFP-J-003,RFP-H-001,PROTECTS
RFP-J-004,RFP-B-001,MANDATORY_FOR
