id,label,section,keywords,content,risk_level
RFP-A-001,Constraint,1.5 (4),"설계변경, 임의변경 금지",발주자 승인 없이 당초 제출한 설계도서 내용을 임의로 변경 불가,High
RFP-A-002,Constraint,1.5 (7),"설계서 상충, 계약상대자 부담",입찰안내서와 상이하거나 누락된 사항은 계약상대자 부담으로 보완,High
RFP-A-003,Constraint,1.10 (2),"추정가격, 입찰상한","발주자 공고 추정가격 이하로 입찰해야 하며, 초과 시 실격 처리",High
RFP-A-004,Constraint,1.10 (7),"Fast-Track, 우선시공",우선시공분 실시설계 적격 심의 후 즉시 공사 착수 의무 (120일 내),High
RFP-A-005,Constraint,1.10 (46),"내구수명, 100년",철도구조물은 내구년한 100년 이상 확보 및 유지관리 능률 고려 설계,High
RFP-A-006,Tech_Spec,1.10 (69),"무가선 트램, 슈퍼캐퍼시터",슈퍼캐퍼시터+배터리 탑재형 무가선 저상 노면전차 사양 반영,Medium
RFP-A-007,Utility_Rule,1.10 (22),"지장물 조사, 이설",착수 전 지장물 철저 조사 및 공사방법 검토 보고 의무,High
RFP-A-008,Utility_Rule,1.10 (64),"PS항목, 정산","지하지장물(가스, 통신 등) 이설비는 사후원가검토 PS항목 관리",Medium
RFP-A-009,Constraint,1.10 (70),"DFS, 설계안전성",설계 완료 전 관계기관과 설계안전성검토(DFS) 협의 완료 의무,Medium
RFP-A-010,Tech_Spec,1.10 (93),"스마트 건설, 로드맵",정부의 스마트 건설기술 활성화 지침 및 로드맵 적극 준수 및 반영,Medium
RFP-A-011,Constraint,1.7 (1),"발주자 의견, 설계수정","설계VE, 자문회의 등 발주기관 제기 의견은 특별 사유 없는 한 반영",Medium
RFP-A-012,Constraint,1.10 (4),"인터페이스, 협력","노반, 궤도, 전기, 신호 등 분야 간 인터페이스 부조화 예방 책임",High
RFP-A-013,Constraint,1.5 (8),"인허가 변경, 비용부담",기술제안 반영을 위한 인허가 변경 소요 비용은 계약상대자 부담,Medium
RFP-B-001,Tech_Spec,2.2 (19),"집수정, 50cm, 완전배수",본선 지하차도 집수정 펌프를 바닥보다 50cm 낮게 설치하여 잔수 제거,Medium
